query_id,language,pipeline,total_latency_ms
q_data_168868,asm_Beng,voice_rag,56.01
q_data_300122,asm_Beng,voice_rag,56.66
q_data_290643,asm_Beng,voice_rag,55.97
q_data_197590,asm_Beng,voice_rag,54.73
q_data_265552,asm_Beng,voice_rag,58.51
q_data_227261,asm_Beng,voice_rag,55.14
q_data_227029,asm_Beng,voice_rag,55.59
q_data_166290,asm_Beng,voice_rag,58.69
q_data_316415,asm_Beng,voice_rag,57.73
q_data_1060370,asm_Beng,voice_rag,56.13
q_data_233826,asm_Beng,voice_rag,56.08
q_data_1090355,asm_Beng,voice_rag,54.4
q_data_287284,asm_Beng,voice_rag,56.79
q_data_187378,asm_Beng,voice_rag,55.29
q_data_361332,asm_Beng,voice_rag,56.88
q_data_165349,asm_Beng,voice_rag,54.84
q_data_260880,asm_Beng,voice_rag,58.91
q_data_110842,asm_Beng,voice_rag,57.03
q_data_116898,asm_Beng,voice_rag,60.36
q_data_237853,asm_Beng,voice_rag,60.45
q_data_1060361,asm_Beng,voice_rag,58.01
q_data_144943,asm_Beng,voice_rag,60.03
q_data_1090353,asm_Beng,voice_rag,56.52
q_data_368321,asm_Beng,voice_rag,59.58
q_data_113570,asm_Beng,voice_rag,57.56
q_data_126172,asm_Beng,voice_rag,57.49
q_data_198064,asm_Beng,voice_rag,58.36
q_data_129220,asm_Beng,voice_rag,53.86
q_data_331047,asm_Beng,voice_rag,58.58
q_data_63220,asm_Beng,voice_rag,55.11
q_data_74039,asm_Beng,voice_rag,57.04
q_data_1060359,asm_Beng,voice_rag,54.59
q_data_229231,asm_Beng,voice_rag,57.83
q_data_267380,asm_Beng,voice_rag,56.26
q_data_1090352,asm_Beng,voice_rag,56.83
q_data_202891,asm_Beng,voice_rag,62.26
q_data_112025,asm_Beng,voice_rag,57.76
q_data_317450,asm_Beng,voice_rag,56.95
q_data_58871,asm_Beng,voice_rag,57.0
q_data_373460,asm_Beng,voice_rag,60.58
q_data_116095,asm_Beng,voice_rag,59.12
q_data_21860,asm_Beng,voice_rag,58.78
q_data_1060348,asm_Beng,voice_rag,55.34
q_data_180855,asm_Beng,voice_rag,54.68
q_data_158720,asm_Beng,voice_rag,57.32
q_data_330463,asm_Beng,voice_rag,56.01
q_data_1090350,asm_Beng,voice_rag,58.66
q_data_190327,asm_Beng,voice_rag,59.28
q_data_44760,asm_Beng,voice_rag,58.53
q_data_271597,asm_Beng,voice_rag,54.58
q_data_15344,asm_Beng,voice_rag,66.22
q_data_187928,asm_Beng,voice_rag,61.86
q_data_131336,asm_Beng,voice_rag,57.15
q_data_1060343,asm_Beng,voice_rag,59.26
q_data_220865,asm_Beng,voice_rag,59.3
q_data_336352,asm_Beng,voice_rag,58.56
q_data_264507,asm_Beng,voice_rag,57.24
q_data_1101287,asm_Beng,voice_rag,56.7
q_data_1090349,asm_Beng,voice_rag,58.16
q_data_9671,asm_Beng,voice_rag,58.88
q_data_232017,asm_Beng,voice_rag,53.64
q_data_58928,asm_Beng,voice_rag,56.47
q_data_328321,asm_Beng,voice_rag,58.95
q_data_59804,asm_Beng,voice_rag,66.94
q_data_1060342,asm_Beng,voice_rag,56.33
q_data_81945,asm_Beng,voice_rag,58.72
q_data_370050,asm_Beng,voice_rag,55.44
q_data_336062,asm_Beng,voice_rag,57.82
q_data_113649,asm_Beng,voice_rag,54.81
q_data_129807,asm_Beng,voice_rag,56.48
q_data_1090347,asm_Beng,voice_rag,57.7
q_data_92849,asm_Beng,voice_rag,59.01
q_data_70489,asm_Beng,voice_rag,56.04
q_data_134646,asm_Beng,voice_rag,56.89
q_data_62459,asm_Beng,voice_rag,56.85
